#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
Flag,Flag,Flag,#,ADC,rpm,tooth,kPa
MARK 000
0.000,1.000,0.000,0.000,325.000,1455.000,1.000,89.423
0.000,1.000,0.000,0.000,318.000,1455.000,1.000,87.713
0.000,1.000,0.000,0.000,313.000,1455.000,1.000,86.491
0.000,1.000,0.000,0.000,308.000,1455.000,1.000,85.269
0.000,1.000,0.000,0.000,304.000,1455.000,1.000,84.291
1.000,1.000,0.000,0.000,304.000,1455.000,2.000,84.291
0.000,1.000,0.000,0.000,303.000,1455.000,2.000,84.047
0.000,1.000,0.000,0.000,305.000,1455.000,2.000,84.536
0.000,1.000,0.000,0.000,305.000,1455.000,2.000,84.536
0.000,1.000,0.000,0.000,304.000,1455.000,2.000,84.291
0.000,1.000,0.000,0.000,301.000,1455.000,2.000,83.558
0.000,1.000,0.000,0.000,297.000,1455.000,2.000,82.581
0.000,1.000,0.000,0.000,290.000,1455.000,2.000,80.870
0.000,1.000,0.000,0.000,287.000,1455.000,2.000,80.137
0.000,1.000,0.000,0.000,286.000,1455.000,2.000,79.892
0.000,1.000,0.000,0.000,286.000,1455.000,2.000,79.892
0.000,1.000,0.000,0.000,286.000,1455.000,2.000,79.892
0.000,1.000,0.000,0.000,284.000,1455.000,2.000,79.404
0.000,1.000,0.000,0.000,281.000,1455.000,2.000,78.671
0.000,1.000,0.000,0.000,276.000,1455.000,2.000,77.449
0.000,1.000,0.000,0.000,273.000,1455.000,2.000,76.716
0.000,1.000,0.000,0.000,273.000,1455.000,2.000,76.716
0.000,1.000,0.000,0.000,273.000,1455.000,2.000,76.716
0.000,1.000,0.000,0.000,275.000,1455.000,2.000,77.204
0.000,1.000,0.000,0.000,274.000,1455.000,2.000,76.960
0.000,1.000,0.000,0.000,271.000,1455.000,2.000,76.227
0.000,1.000,0.000,0.000,265.000,1455.000,2.000,74.761
0.000,1.000,0.000,0.000,262.000,1455.000,2.000,74.027
0.000,1.000,0.000,0.000,261.000,1455.000,2.000,73.783
0.000,1.000,0.000,0.000,261.000,1455.000,2.000,73.783
0.000,1.000,0.000,0.000,264.000,1455.000,2.000,74.516
0.000,1.000,0.000,0.000,265.000,1455.000,2.000,74.761
0.000,1.000,0.000,0.000,265.000,1455.000,2.000,74.761
0.000,1.000,0.000,0.000,262.000,1455.000,2.000,74.027
0.000,1.000,0.000,0.000,260.000,1455.000,2.000,73.539
0.000,1.000,0.000,0.000,258.000,1455.000,2.000,73.050
0.000,1.000,0.000,0.000,257.000,1455.000,2.000,72.805
0.000,1.000,0.000,0.000,258.000,1455.000,2.000,73.050
0.000,1.000,0.000,0.000,260.000,1455.000,2.000,73.539
0.000,1.000,0.000,0.000,261.000,1455.000,2.000,73.783
0.000,1.000,0.000,0.000,261.000,1455.000,2.000,73.783
0.000,1.000,0.000,0.000,260.000,1455.000,2.000,73.539
0.000,1.000,0.000,0.000,259.000,1455.000,2.000,73.294
0.000,1.000,0.000,0.000,259.000,1455.000,2.000,73.294
0.000,1.000,0.000,0.000,260.000,1455.000,2.000,73.539
0.000,1.000,0.000,0.000,261.000,1455.000,2.000,73.783
0.000,1.000,0.000,0.000,262.000,1455.000,2.000,74.027
0.000,0.000,0.000,0.000,263.000,1455.000,2.000,74.272
0.000,0.000,0.000,0.000,263.000,1455.000,2.000,74.272
0.000,0.000,0.000,0.000,263.000,1455.000,2.000,74.272
0.000,0.000,0.000,0.000,264.000,1455.000,2.000,74.516
0.000,0.000,0.000,0.000,265.000,1455.000,2.000,74.761
0.000,0.000,0.000,0.000,266.000,1455.000,2.000,75.005
0.000,0.000,0.000,0.000,268.000,1455.000,2.000,75.494
