#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
TriggerTime,Time
ms,ms
6.222,24178.426
6.249,24184.674
6.283,24190.957
6.306,24197.264
6.330,24203.594
6.360,24209.953
6.392,24216.346
6.417,24222.764
6.439,24229.203
6.476,24235.680
6.508,24242.188
6.531,24248.719
6.563,24255.281
6.587,24261.869
6.624,24268.494
6.649,24275.145
6.677,24281.820
6.709,24288.529
6.739,24295.268
6.771,24302.039
6.800,24308.840
6.828,24315.668
6.860,24322.527
6.882,24329.408
6.922,24336.330
6.949,24343.279
6.981,24350.260
7.011,24357.271
7.045,24364.316
7.075,24371.393
7.110,24378.502
7.135,24385.637
7.169,24392.805
7.199,24400.004
7.233,24407.236
7.268,24414.504
7.298,24421.801
7.328,24429.129
7.362,24436.490
7.392,24443.883
7.429,24451.313
7.453,24458.766
7.496,24466.262
7.523,24473.785
7.560,24481.346
7.587,24488.934
7.632,24496.566
7.659,24504.225
7.699,24511.924
7.736,24519.660
7.770,24527.430
7.812,24535.242
7.849,24543.092
7.887,24550.979
7.921,24558.900
7.968,24566.869
8.003,24574.873
8.045,24582.918
8.080,24590.998
8.130,24599.127
8.162,24607.289
8.204,24615.492
8.248,24623.740
8.286,24632.025
8.333,24640.357
8.367,24648.725
8.417,24657.141
8.457,24665.598
8.509,24674.105
8.542,24682.648
8.591,24691.238
8.631,24699.869
8.679,24708.549
8.726,24717.275
8.771,24726.047
8.816,24734.863
8.870,24743.732
8.919,24752.650
8.959,24761.609
9.018,24770.627
9.065,24779.691
9.115,24788.807
9.170,24797.977
9.216,24807.193
9.268,24816.461
9.333,24825.795
9.377,24835.172
9.439,24844.611
9.491,24854.102
9.546,24863.646
9.602,24873.248
9.664,24882.912
9.723,24892.635
9.783,24902.418
9.843,24912.260
9.911,24922.172
9.971,24932.143
10.035,24942.178
10.105,24952.283
10.169,24962.453
10.231,24972.684
10.320,24983.004
10.382,24993.387
10.448,25003.836
10.538,25014.373
10.609,25024.982
10.686,25035.668
10.771,25046.439
10.850,25057.289
10.936,25068.225
11.031,25079.256
11.114,25090.371
11.213,25101.584
