//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
682	36.65	367 	3.330
683	36.46	365 	3.335
684	36.27	363 	3.340
685	36.08	361 	3.345
686	35.89	359 	3.350
687	35.70	357 	3.354
688	35.51	355 	3.359
689	35.31	353 	3.364
690	35.12	351 	3.369
691	34.93	349 	3.374
692	34.74	347 	3.379
693	34.54	345 	3.384
694	34.35	344 	3.389
695	34.16	342 	3.394
696	33.96	340 	3.398
697	33.77	338 	3.403
698	33.58	336 	3.408
699	33.38	334 	3.413
700	33.19	332 	3.418
701	32.99	330 	3.423
702	32.80	328 	3.428
703	32.60	326 	3.433
704	32.41	324 	3.438
705	32.21	322 	3.442
706	32.01	320 	3.447
707	31.82	318 	3.452
708	31.62	316 	3.457
709	31.42	314 	3.462
710	31.23	312 	3.467
711	31.03	310 	3.472
712	30.83	308 	3.477
713	30.63	306 	3.481
714	30.43	304 	3.486
715	30.24	302 	3.491
716	30.04	300 	3.496
717	29.84	298 	3.501
718	29.64	296 	3.506
719	29.44	294 	3.511
720	29.24	292 	3.516
721	29.04	290 	3.521
722	28.84	288 	3.525
723	28.63	286 	3.530
724	28.43	284 	3.535
725	28.23	282 	3.540
726	28.03	280 	3.545
727	27.83	278 	3.550
728	27.62	276 	3.555
729	27.42	274 	3.560
730	27.22	272 	3.564
731	27.01	270 	3.569
732	26.81	268 	3.574
733	26.61	266 	3.579
734	26.40	264 	3.584
735	26.20	262 	3.589
736	25.99	260 	3.594
737	25.78	258 	3.599
738	25.58	256 	3.604
739	25.37	254 	3.608
740	25.16	252 	3.613
741	24.96	250 	3.618
742	24.75	247 	3.623
743	24.54	245 	3.628
744	24.33	243 	3.633
745	24.12	241 	3.638
746	23.92	239 	3.643
747	23.71	237 	3.647
748	23.50	235 	3.652
749	23.29	233 	3.657
750	23.07	231 	3.662
751	22.86	229 	3.667
752	22.65	227 	3.672
753	22.44	224 	3.677
754	22.23	222 	3.682
755	22.01	220 	3.687
756	21.80	218 	3.691
757	21.59	216 	3.696
758	21.37	214 	3.701
759	21.16	212 	3.706
760	20.94	209 	3.711
761	20.73	207 	3.716
762	20.51	205 	3.721
763	20.30	203 	3.726
764	20.08	201 	3.730
765	19.86	199 	3.735
766	19.64	196 	3.740
767	19.42	194 	3.745
768	19.21	192 	3.750
769	18.99	190 	3.755
770	18.77	188 	3.760
771	18.55	185 	3.765
772	18.33	183 	3.770
773	18.11	181 	3.774
774	17.88	179 	3.779
775	17.66	177 	3.784
776	17.44	174 	3.789
777	17.22	172 	3.794
778	16.99	170 	3.799
779	16.77	168 	3.804
780	16.54	165 	3.809
781	16.32	163 	3.813
782	16.09	161 	3.818
